Site_name,Site_id,Latitude,Longitude
NMIC28,27286,32.225556,35.221667
NMIC28,27287,32.225556,35.221667
NMIC30,27301,32.268889,35.168333
NMIC30,27302,32.268889,35.168333
NMIC30,27306,32.268889,35.168333
NMIC30,27307,32.268889,35.168333
NMIC31,27311,32.223578,35.239955
NMIC31,27312,32.223578,35.239955
NMIC31,27313,32.223578,35.239955
NMIC31,27316,32.223578,35.239955
NMIC31,27317,32.223578,35.239955
NMIC31,27318,32.223578,35.239955
NMIC32,27320,32.225632,35.230645
NMIC32,27321,32.225632,35.230645
NMIC32,27322,32.225632,35.230645
NMIC32,27323,32.225632,35.230645
NMIC32,27324,32.225632,35.230645
NMIC32,27325,32.225632,35.230645
NMIC32,27326,32.225632,35.230645
NMIC32,27327,32.225632,35.230645
NMIC32,27328,32.225632,35.230645
NMIC32,27329,32.225632,35.230645
NMIC34,27341,32.238333,35.240556
NMIC34,27342,32.238333,35.240556
NMIC34,27346,32.238333,35.240556
NMIC34,27347,32.238333,35.240556
NMIC35,27351,32.239103,35.236883
NMIC35,27352,32.239103,35.236883
NMIC35,27353,32.239103,35.236883
NMIC35,27356,32.239103,35.236883
NMIC35,27357,32.239103,35.236883
NMIC35,27358,32.239103,35.236883
NMIC36,27361,32.22695,35.263336
NMIC36,27362,32.22695,35.263336
NMIC36,27366,32.22695,35.263336
NMIC36,27367,32.22695,35.263336
NMIC41,27411,32.2086,35.2795
NMIC41,27412,32.2086,35.2795
NMIC41,27416,32.2086,35.2795
NMIC41,27417,32.2086,35.2795
NMIC42,27421,32.219722,35.259167
NMIC42,27422,32.219722,35.259167
NMIC42,27423,32.219722,35.259167
NMIC42,27426,32.219722,35.259167
NMIC42,27427,32.219722,35.259167
NMIC42,27428,32.219722,35.259167
NMIC43,27431,32.239247,35.245889
NMIC43,27436,32.239247,35.245889
NMIC44,27441,32.22269,35.268713
NMIC44,27442,32.22269,35.268713
NMIC44,27443,32.22269,35.268713
